Name,Citrus Fruit,Stone Fruit,Tropical Fruit,Floral,Herbal,Creaminess,Body,Acidity,Sweetness,Alcohol
Albariño,5,2,0,3,0,1,2,5,2,3
Chardonnay,4,5,3,2,0,5,5,3,2,4
Chenin Blanc,2,5,2,2,0,2,3,5,2,3
Garganega,4,3,3,1,3,2,4,4,2,3
Gewürztraminer,1,3,5,5,1,3,5,1,3,4
Grüner Veltliner,2,4,1,2,5,0,3,5,2,3
Marsanne,2,5,2,2,2,3,4,2,2,4
Muscat Blanc,1,3,5,5,0,0,4,4,3,1
Pinot Gris,3,4,2,2,1,0,2,4,2,3
Riesling,5,4,2,3,1,0,3,5,3,1
Sauvignon Blanc,4,0,3,3,5,0,4,5,2,3
Sémillon,4,3,3,1,1,4,4,3,2,3
Torrontés,2,4,2,5,1,0,3,3,2,3
Vermentino,5,4,1,2,2,1,4,4,2,3
Viognier,2,4,4,4,0,5,5,2,2,4
