Unnamed: 0,country,description,points,price,province,title,variety,winery,wineType
22495,US,"This new project of Elias Fernandez and Doug Shafer, of Shafer Vineyards, continues to impress with this standout white, sourced from Carneros, where the duo planted four acres of the variety a few years back. It's achingly pretty and substantive—exotic, complex and lingering, with sizzling acidity. Peach and honeysuckle stand out, while the texture is so sublime, you'll simply want more.",94,28.0,California,Eighty Four 2015 Albariño (Napa Valley),Albariño,Eighty Four,white
62326,US,"This strengthens the argument that there's a place for different kinds of white wines to be made in the Napa Valley, emphasizing fruit freshness and acidity without sacrificing flavor or soul. Juicy apricot and green apple ride a wave of unoaked refreshment and refinement, all within a crisp framework of deliciousness. Lavender and honeysuckle seduce quietly.",94,28.0,California,Eighty Four 2016 Albariño (Napa Valley),Albariño,Eighty Four,white
78270,Spain,"This gorgeous Albariño opens with elegant aromas of white flowers, peach and minerals. There's ample acidity, body and flow to the palate, while flavors of nectarine, tangerine and lemon are top-shelf. A long-lasting, clean-as-polished-glass finish confirms excellent overall quality.",93,27.0,Galicia,Adegas Gran Vinum 2014 Selección Especial Albariño (Rías Baixas),Albariño,Adegas Gran Vinum,white
89822,Spain,"Pure minerals, peach and melon aromas come with a hint of leesy dust. This wine is elegant, chiseled and minerally on the palate. Flavors of dusty apple and citrus end long and stony, with class. Laxas is a top-flight Albariño producer and this vintage is one of its best. Drink now.",92,22.0,Galicia,As Laxas 2014 Albariño (Rías Baixas),Albariño,As Laxas,white
16153,US,"This elegant, sophisticated wine confirms Longoria's reputation as one of the premier Albariño producers in California. As in past vintages, the wine is bone dry and crisp in acidity, with mineral, citrus zest and apricot flavors that finish with a honeyed richness.",92,23.0,California,Longoria 2011 Clover Creek Vineyard Albariño (Santa Ynez Valley),Albariño,Longoria,white
78290,Italy,"Enticing aromas of violet, dark berry, leather and sweet baking spices lead the way on this vibrant, delicious red. The lively, polished palate doles out juicy wild cherry, black raspberry, cinnamon and clove framed in bright acidity and supple tannins. It boasts elegance and balance.",93,29.0,Piedmont,Franco M. Martinetti 2012 Bric dei Banditi  (Barbera d'Asti),Barbera,Franco M. Martinetti,red
44785,Italy,"Enticing scents of fragrant blue flower, forest berry and Alpine herb take center stage in this elegant and structured red. The vibrant palate delivers juicy red cherry, raspberry compote, star anise and tobacco hints alongside bright acidity and polished tannins. Impeccably balanced and delicious, it also offers incredible value. Drink through 2029.",93,28.0,Piedmont,Braida di Giacomo Bologna 2014 Monte Bruna  (Barbera d'Asti),Barbera,Braida di Giacomo Bologna,red
21881,US,"The soft but flavorful entry into a land of dark fruits, smoke and espresso barely hints at the wine to come. Give it time to breathe and it opens into a wonderfully complex, smooth and creamy wine with no rough edges. Pretty red fruit, seductive and lingering, is matched to hints of chocolate from 30 months in neutral barrels.",92,25.0,Washington,Tranche 2007 Barbera (Columbia Valley (WA)),Barbera,Tranche,red
81935,US,"This is one of the most Italian-tasting wines made in California, because of its complex blend of spicy earthy characters and moderate fruit flavors, grippy tannins and good acidity. It's nicely dry, well balanced, has interesting oaky accents on top of mildly fruity and also savory notes. Unusual because it's not vintage dated, but don't let that dissuade.",92,25.0,California,Le Mulet Rouge NV Barbera (Amador County),Barbera,Le Mulet Rouge,red
47717,Italy,"From one of the best vineyard sites in the Barbaresco-making village of Neive, this offers aromas of raspberry, tilled soil, tobacco and chopped herbs. The chewy, delicious palate doles out juicy black cherry, crushed blackberry and baking spice alongside enveloping, velvety tannins and fresh acidity. It's a superb Barbera.",92,20.0,Piedmont,Castello di Neive 2012 Vigna Santo Stefano  (Barbera d'Alba),Barbera,Castello di Neive,red
70309,US,"Whether or not you consider yourself a fan of varietal Cabernet Franc, this is a wine to explore and to savor. Pure fruit is set amidst generous streaks of herb and earth, framed by firm tannins. The wine opens slowly, and pretty cherry flavors emerge, along with black olive, pencil lead and complex barrel notes.",93,25.0,Washington,Tranche 2008 Estate Cabernet Franc (Walla Walla Valley (WA)),Cabernet Franc,Tranche,red
60035,France,"A seven-acre vineyard surrounding an ancient castle, with vines planted in 1938. They give a densely concentrated and powerful wine, with wood and sweet, fleshy red fruits allied to delicious acidity. The whole structure promises long-term aging—give it five years or more.",93,24.0,Loire Valley,Jean-Maurice Raffault 2010 Clos d'Isoré  (Chinon),Cabernet Franc,Jean-Maurice Raffault,red
109555,France,"From clay and silex soil at the foot of the hill behind the Baudry house, this solid, richly fruity wine brings out both concentrated tannins and opulent, red berry flavors. Showing the great potential structure from old vines, this is a wine for aging over at least six years.",93,26.0,Loire Valley,Bernard Baudry 2010 Les Grézeaux  (Chinon),Cabernet Franc,Bernard Baudry,red
38676,Argentina,"Early on this shows edgy, minty aromas of toasty oak, but then plum, wild berry, warm dust and malty notes settle in. Chunky, grapy weight makes for a full, broad palate, while baked berry and savory meat flavors end dark, potent and satisfying. Drink through 2030.",92,27.0,Mendoza Province,Bressia 2012 Monteagrelo Cabernet Franc (Mendoza),Cabernet Franc,Bressia,red
46413,US,"The flagship bottling for this winery, this brings aromas of dried herbs, dark chocolate, espresso bean, black currant and cherry. The dark fruit flavors are rich and concentrated, possessing a layered mouthfeel that captures the attention.",92,29.0,Washington,Barrister 2012 Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,Barrister,red
104198,US,"Alcohol that reaches these levels is often a complexity killer, but not here. This is a stunningly delicious wine, with ripe, powerful and concentrated black fruits. Baking spices, tar, pencil lead, even a whiff of compost all add to the complexity and the depth of flavor is magnificent. This can age at least a decade but is delicious already!",95,25.0,Washington,Southard 2010 Whipping Boy Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Southard,red
124442,US,"Refined and beautiful. Made with a splash of Cabernet Franc that gives it a cherry pie filling richness, it's dry and full-bodied, with thick but sweetly ripe tannins framing a Sauvignonesque core of cassis. Finishes with a wonderful, grounding tug of herbs and coffee. A major achievement at this price.",94,28.0,California,Newton 2007 Cabernet Sauvignon (Napa County),Cabernet Sauvignon,Newton,red
88685,Israel,"Inky red-violet to the eye, this wine has an intense nose of blackberry, toast and chocolate. Tannins are strong yet well matched by rich flavors of strawberry, raspberry, cranberry, smoke, orange zest and violet. It is full-figured on the palate, with a smooth yet zesty finish.",94,25.0,Galilee,Recanati 2011 Reserve David Vineyard Cabernet Sauvignon (Galilee),Cabernet Sauvignon,Recanati,red
111027,US,"Run, don't walk, to find this amazingly priced Cabernet. It's so good and rich, it easily holds its own against Cabs costing five times as much. Dry and smooth in tannins, it offers a burst of blackberry, black cherry, cassis and chocolate flavors, with a wonderful coating of oak. Drink now–2013.",93,20.0,California,Kirkland Signature 2008 Signature Series Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Kirkland Signature,red
23589,US,"Pure Cabernet Sauvignon from the Yellow Jacket, Waliser and Pepper Bridge vineyards, this supremely rich and expressive wine is riveting for its depth and detail, and it's packed with red, blue and black fruits. Whiffs of smoke, graphite and stone add complexity, and the hint of bitter chocolate in the finish is the capper.",93,29.0,Washington,Beresan 2006 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Beresan,red
